FileID	DatasetID
FILE_ID.00000715	DATASET.00000003
FILE_ID.00000718	DATASET.00000001
FILE_ID.00000719	DATASET.00000003
FILE_ID.00000722	DATASET.00000001
FILE_ID.00000723	DATASET.00000003
FILE_ID.00000726	DATASET.00000001
FILE_ID.00000727	DATASET.00000003
FILE_ID.00000730	DATASET.00000001
FILE_ID.00000731	DATASET.00000003
FILE_ID.00000734	DATASET.00000001
FILE_ID.00000735	DATASET.00000003
FILE_ID.00000738	DATASET.00000001
FILE_ID.00000739	DATASET.00000003
FILE_ID.00000742	DATASET.00000001
FILE_ID.00000743	DATASET.00000003
FILE_ID.00000746	DATASET.00000001
FILE_ID.00000747	DATASET.00000003
FILE_ID.00000750	DATASET.00000001
FILE_ID.00000751	DATASET.00000003
FILE_ID.00000754	DATASET.00000001
FILE_ID.00000755	DATASET.00000003
FILE_ID.00000758	DATASET.00000001
FILE_ID.00000759	DATASET.00000003
FILE_ID.00000762	DATASET.00000001
FILE_ID.00000763	DATASET.00000003
FILE_ID.00000766	DATASET.00000001
FILE_ID.00000767	DATASET.00000003
FILE_ID.00000770	DATASET.00000001
FILE_ID.00000771	DATASET.00000003
FILE_ID.00000774	DATASET.00000001
FILE_ID.00000775	DATASET.00000003
FILE_ID.00000778	DATASET.00000001
FILE_ID.00000779	DATASET.00000003
FILE_ID.00000782	DATASET.00000001
FILE_ID.00000783	DATASET.00000003
FILE_ID.00000786	DATASET.00000001
FILE_ID.00000787	DATASET.00000003
FILE_ID.00000790	DATASET.00000001
FILE_ID.00000791	DATASET.00000003
FILE_ID.00000794	DATASET.00000001
FILE_ID.00000795	DATASET.00000003
FILE_ID.00000798	DATASET.00000001
FILE_ID.00000799	DATASET.00000003
FILE_ID.00000802	DATASET.00000001
FILE_ID.00000803	DATASET.00000003
FILE_ID.00000806	DATASET.00000001
FILE_ID.00000807	DATASET.00000003
FILE_ID.00000810	DATASET.00000001
FILE_ID.00000811	DATASET.00000003
FILE_ID.00000814	DATASET.00000001
FILE_ID.00000815	DATASET.00000003
FILE_ID.00000818	DATASET.00000001
FILE_ID.00000819	DATASET.00000003
FILE_ID.00000822	DATASET.00000001
FILE_ID.00000823	DATASET.00000003
FILE_ID.00000826	DATASET.00000001
FILE_ID.00000827	DATASET.00000003
FILE_ID.00000830	DATASET.00000001
FILE_ID.00000831	DATASET.00000003
FILE_ID.00000834	DATASET.00000001
FILE_ID.00000835	DATASET.00000003
FILE_ID.00000838	DATASET.00000001
FILE_ID.00000839	DATASET.00000003
FILE_ID.00000842	DATASET.00000001
FILE_ID.00000843	DATASET.00000003
FILE_ID.00000846	DATASET.00000001
FILE_ID.00000847	DATASET.00000003
FILE_ID.00000850	DATASET.00000001
FILE_ID.00000851	DATASET.00000003
FILE_ID.00000854	DATASET.00000001
FILE_ID.00000855	DATASET.00000003
FILE_ID.00000858	DATASET.00000001
